,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__max_depth,param_model__max_features,param_model__n_estimators,param_preprocess__num_transform__numimputer__strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.2848221302032471,0.03799771629167906,0.011107587814331054,0.002236761069475622,True,,,50,mean,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': None, 'model__n_estimators': 50, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.7040358744394619,0.7219730941704036,0.6816143497757847,0.7040358744394619,0.6816143497757847,0.6986547085201794,0.015377962510746421,10
1,0.29610843658447267,0.019640528266400926,0.010513591766357421,0.001839636998697998,True,,,50,median,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': None, 'model__n_estimators': 50, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.7040358744394619,0.6905829596412556,0.6905829596412556,0.6995515695067265,0.7040358744394619,0.6977578475336323,0.006082807159753622,12
2,0.5270467281341553,0.023515681800912333,0.012872409820556641,0.000928495465580832,True,,,100,mean,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': None, 'model__n_estimators': 100, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.7130044843049327,0.672645739910314,0.695067264573991,0.7219730941704036,0.726457399103139,0.705829596412556,0.019771666085245353,3
3,0.5404366493225098,0.02116778235484005,0.01502532958984375,0.001377387620610099,True,,,100,median,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': None, 'model__n_estimators': 100, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.6995515695067265,0.6905829596412556,0.695067264573991,0.7174887892376681,0.7040358744394619,0.7013452914798206,0.009233749005369496,7
4,0.8047229766845703,0.021588294968206606,0.01803274154663086,0.0012717057166955013,True,,,150,mean,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': None, 'model__n_estimators': 150, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.7130044843049327,0.6816143497757847,0.6905829596412556,0.7130044843049327,0.7309417040358744,0.705829596412556,0.017620522604832736,3
5,0.7813736438751221,0.028225676394181408,0.017719554901123046,0.0011715554041222226,True,,,150,median,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': None, 'model__n_estimators': 150, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.7130044843049327,0.6905829596412556,0.6681614349775785,0.7130044843049327,0.7085201793721974,0.6986547085201794,0.01734446601418268,10
6,0.9903130054473877,0.047457949721459995,0.021957540512084962,0.0004931454546927498,True,,,200,mean,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': None, 'model__n_estimators': 200, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.7085201793721974,0.7130044843049327,0.7040358744394619,0.7130044843049327,0.7085201793721974,0.7094170403587444,0.0033557465352232283,1
7,1.1016586303710938,0.0859515722833068,0.021958017349243165,0.0019173825364173006,True,,,200,median,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': None, 'model__n_estimators': 200, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.7040358744394619,0.6816143497757847,0.6681614349775785,0.6995515695067265,0.6995515695067265,0.6905829596412557,0.013601570303231484,37
8,1.5803283214569093,0.05518293934567523,0.03221573829650879,0.0023232074914201007,True,,,300,mean,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': None, 'model__n_estimators': 300, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.7130044843049327,0.6816143497757847,0.6995515695067265,0.726457399103139,0.7174887892376681,0.7076233183856501,0.01563730562705174,2
9,1.5942611217498779,0.074022259173406,0.031734037399291995,0.0017997643587533074,True,,,300,median,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': None, 'model__n_estimators': 300, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.7174887892376681,0.6816143497757847,0.7085201793721974,0.7085201793721974,0.6995515695067265,0.7031390134529149,0.012165614319507218,5
10,0.10540752410888672,0.008017430137123712,0.009821844100952149,0.001555006048053999,True,,auto,50,mean,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 'auto', 'model__n_estimators': 50, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.7219730941704036,0.6860986547085202,0.6905829596412556,0.6860986547085202,0.7309417040358744,0.7031390134529147,0.019318976886581185,6
11,0.0995607852935791,0.004545071333465002,0.010131072998046876,0.001339119089203202,True,,auto,50,median,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 'auto', 'model__n_estimators': 50, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.7040358744394619,0.695067264573991,0.6412556053811659,0.6905829596412556,0.6816143497757847,0.6825112107623319,0.02185839929498467,119
12,0.2266416072845459,0.018471047336304586,0.017270994186401368,0.0024436180537763265,True,,auto,100,mean,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 'auto', 'model__n_estimators': 100, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.6860986547085202,0.6771300448430493,0.6322869955156951,0.7130044843049327,0.7085201793721974,0.6834080717488789,0.028867223209741832,114
13,0.22482023239135743,0.00684347207896522,0.019289731979370117,0.002771723088891887,True,,auto,100,median,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 'auto', 'model__n_estimators': 100, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.7085201793721974,0.6771300448430493,0.6457399103139013,0.6816143497757847,0.7040358744394619,0.683408071748879,0.022439454714254382,108
