,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,param_preprocess__num_transform__numimputer__strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
38,0.014680767059326172,0.0011564297839592084,0.0,0.0,0.0001,3,300,3,mean,"{'model__learning_rate': 0.0001, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 3, 'preprocess__num_transform__numimputer__strategy': 'mean'}",,,,,,,,1039
39,0.015585899353027344,0.001161767406584959,0.0,0.0,0.0001,3,300,3,median,"{'model__learning_rate': 0.0001, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 3, 'preprocess__num_transform__numimputer__strategy': 'median'}",,,,,,,,1038
40,0.07191629409790039,0.0023656923136620447,0.0053156852722167965,0.0004078053611562242,0.0001,5,50,0.1,mean,"{'model__learning_rate': 0.0001, 'model__max_depth': 5, 'model__n_estimators': 50, 'model__subsample': 0.1, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.5515695067264574,0.5560538116591929,0.5560538116591929,0.5560538116591929,0.5560538116591929,0.5551569506726457,0.0017937219730941756,590
41,0.0704113483428955,0.0014149194756359084,0.0052317619323730465,0.0004074420641491574,0.0001,5,50,0.1,median,"{'model__learning_rate': 0.0001, 'model__max_depth': 5, 'model__n_estimators': 50, 'model__subsample': 0.1, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.5515695067264574,0.5560538116591929,0.5560538116591929,0.5560538116591929,0.5560538116591929,0.5551569506726457,0.0017937219730941756,590
42,0.17236499786376952,0.0062313148312695965,0.005743217468261719,0.0006271089835930705,0.0001,5,50,0.5,mean,"{'model__learning_rate': 0.0001, 'model__max_depth': 5, 'model__n_estimators': 50, 'model__subsample': 0.5, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.5515695067264574,0.5560538116591929,0.5560538116591929,0.5560538116591929,0.5560538116591929,0.5551569506726457,0.0017937219730941756,590
43,0.16400494575500488,0.002520112759295933,0.00500035285949707,0.00085361921205981,0.0001,5,50,0.5,median,"{'model__learning_rate': 0.0001, 'model__max_depth': 5, 'model__n_estimators': 50, 'model__subsample': 0.5, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.5515695067264574,0.5560538116591929,0.5560538116591929,0.5560538116591929,0.5560538116591929,0.5551569506726457,0.0017937219730941756,590
44,0.2695399284362793,0.0017788911884474342,0.005495929718017578,0.0010066451931789767,0.0001,5,50,1,mean,"{'model__learning_rate': 0.0001, 'model__max_depth': 5, 'model__n_estimators': 50, 'model__subsample': 1, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.5515695067264574,0.5560538116591929,0.5560538116591929,0.5560538116591929,0.5560538116591929,0.5551569506726457,0.0017937219730941756,590
45,0.27013492584228516,0.002273766762018148,0.005347681045532226,0.0007628506877044547,0.0001,5,50,1,median,"{'model__learning_rate': 0.0001, 'model__max_depth': 5, 'model__n_estimators': 50, 'model__subsample': 1, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.5515695067264574,0.5560538116591929,0.5560538116591929,0.5560538116591929,0.5560538116591929,0.5551569506726457,0.0017937219730941756,590
46,0.015297651290893555,0.00101641728829921,0.0,0.0,0.0001,5,50,3,mean,"{'model__learning_rate': 0.0001, 'model__max_depth': 5, 'model__n_estimators': 50, 'model__subsample': 3, 'preprocess__num_transform__numimputer__strategy': 'mean'}",,,,,,,,1037
47,0.015952587127685547,0.00041907972418656634,0.0,0.0,0.0001,5,50,3,median,"{'model__learning_rate': 0.0001, 'model__max_depth': 5, 'model__n_estimators': 50, 'model__subsample': 3, 'preprocess__num_transform__numimputer__strategy': 'median'}",,,,,,,,1036
48,0.129838228225708,0.005048581104883129,0.007037925720214844,0.0013794385911700816,0.0001,5,100,0.1,mean,"{'model__learning_rate': 0.0001, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.1, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.5515695067264574,0.5560538116591929,0.5560538116591929,0.5560538116591929,0.5560538116591929,0.5551569506726457,0.0017937219730941756,590
