,player_name,TEAM,AFFILIATION,YEAR,ROUND,ROUND.1,OVERALL,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed: 64,Unnamed: 65
10,James Bouknight,Charlotte Hornets,Connecticut,2021.0,1,11,11,Connecticut,Amer,28,56.6,109.3,24.5,50.7,56.0,6.7,11.3,11.5,16.3,83,101,0.8220000000000001,103,205,0.502,25,72,0.34700000000000003,0.9,1.7,36.5,Fr,4-Jun,2.0,3.14056,121.59299999999999,4.1,2020,70319,all,86.8,0.71999775,74.0,126.0,29.0,77.0,0.5873,0.3766,19.0,20.0,0.95,11.0,97.3983,96.5214,2.66991,122.89299999999999,2.8368700000000002,3.28398,-0.447114,4.42513,25.8571,4.00822,0.41690299999999997,1.5714,2.5357,4.1071,1.2857,0.75,0.2143,13.0,Wing G,5.7456
11,James Bouknight,Charlotte Hornets,Connecticut,2021.0,1,11,11,Connecticut,BE,15,51.4,106.2,30.2,49.8,54.57,5.3,15.0,12.8,17.7,63,81,0.778,76,144,0.528,22,75,0.293,0.9,2.2,37.0,So,5-Jun,2,4.56274,127.125,2.4,2021,70319,all,86.8,0.64285714,52.0,79.0,24.0,65.0,0.6582,0.3692,12.0,12.0,1.0,11.0,97.5146,92.9668,3.73664,85.7659,4.43505,3.9062699999999997,0.528775,7.924519999999999,31.6667,6.1589,1.76562,1.5333,4.1333,5.6667,1.8,1.1333,0.2667,18.7333,Wing G,9.51638
12,Joshua Primo,San Antonio Spurs,Alabama,2021.0,1,12,12,Alabama,SEC,30,50.9,106.4,16.9,54.1,56.51,4.7,10.5,6.5,19.3,33,44,0.75,41,82,0.5,43,113,0.381,1.3,1.3,22.6,Fr,6-Jun,11,1.7222,107.439,3.0,2021,72716,all,88.8,0.60971681,37.0,63.0,4.0,19.0,0.5873,0.2105,3.0,3.0,1.0,12.0,97.99700000000001,92.0733,2.73142,118.126,3.49621,1.8135400000000002,1.68267,2.4536700000000002,22.4667,1.34194,1.1117299999999999,1.0333,2.3333,3.3667,0.8333,0.5333,0.3,8.1333,Wing G,9.02704
13,Chris Duarte,Indiana Pacers,Oregon,2021.0,1,13,13,Oregon,P12,28,66.2,109.5,22.7,49.2,52.92,6.2,15.8,10.4,13.6,62,78,0.795,79,164,0.48200000000000004,47,140,0.336,2.1,3.4,25.7,Jr,6-Jun,5.0,3.4792300000000003,119.64399999999999,2.2,2020,70910,all,52.8,1.06980532,63.0,110.0,16.0,54.0,0.5727,0.2963,11.0,12.0,0.9167,13.0,95.4767,92.1962,3.5646,174.22,6.14919,4.15271,1.99647,6.91292,30.1429,5.005380000000001,1.9075400000000002,1.5,4.1071,5.6071,1.6429,1.6786,0.5357,12.8929,Wing G,10.0507
14,Chris Duarte,Indiana Pacers,Oregon,2021.0,1,13,13,Oregon,P12,26,79.1,120.2,22.5,63.3,65.73,2.8,14.0,14.9,17.5,64,79,0.81,99,157,0.631,61,144,0.424,2.8,3.3,26.2,Sr,6-Jun,5,5.38025,130.756,1.6,2021,70910,all,52.8,1.15256477,63.0,90.0,36.0,67.0,0.7,0.5373,14.0,15.0,0.9333,13.0,98.5419,92.1947,4.14586,179.834,9.33922,6.49636,2.84286,10.4076,34.0769,7.4533,2.95432,0.7692,3.8846,4.6538,2.6154,1.9231,0.8077,17.1154,Wing G,9.56741
15,Moses Moody,Golden State Warriors,Arkansas,2021.0,1,14,14,Arkansas,SEC,32,84.2,116.0,21.6,50.3,56.81,6.3,11.8,8.0,11.8,151,186,0.812,107,224,0.478,58,162,0.358,2.0,1.6,48.2,Fr,6-Jun,5,4.36787,122.62899999999999,2.7,2021,72944,all,91.4,0.96153846,62.0,110.0,45.0,114.0,0.5636,0.3947,10.0,11.0,0.9091,14.0,98.2513,92.4912,4.10055,195.87900000000002,5.74065,4.29972,1.4409299999999998,6.32709,33.8125,4.7656,1.56149,2.0,3.75,5.75,1.5625,1.0,0.6562,16.8438,Wing G,7.87513
16,Corey Kispert,Washington Wizards,Gonzaga,2021.0,1,15,15,Gonzaga,WCC,35,45.3,120.1,15.8,56.7,57.81,6.5,11.8,6.1,11.7,24,36,0.667,46,73,0.63,40,114,0.35100000000000003,0.9,0.8,19.3,Fr,6-Jun,24,1.73334,113.564,2.1,2018,51050,all,79.0,1.18183266,40.0,54.0,6.0,19.0,0.7407,0.3158,2.0,3.0,0.6667,15.0,100.27799999999999,99.0407,2.01812,111.53,3.77555,3.22326,0.552287,3.7088099999999997,19.4,3.06602,0.642787,1.0571,2.1143,3.1714,0.7429,0.2857,0.1714,6.7429,Wing F,9.591389999999999
17,Corey Kispert,Washington Wizards,Gonzaga,2021.0,1,15,15,Gonzaga,WCC,37,65.3,117.9,13.6,56.5,58.65,4.3,12.3,5.9,13.6,28,32,0.875,43,75,0.573,61,163,0.374,1.9,1.4,13.4,So,6-Jun,24,2.04661,110.02600000000001,2.9,2019,51050,all,79.0,1.21875367,42.0,67.0,1.0,9.0,0.6269,0.1111,7.0,7.0,1.0,15.0,94.1964,91.1863,3.47085,176.769,6.7843,4.0380400000000005,2.74626,5.143730000000001,26.1351,2.73189,2.41184,0.8919,3.1892,4.0811,1.0541,0.6486,0.4865,8.027000000000001,Wing G,9.41812
18,Corey Kispert,Washington Wizards,Gonzaga,2021.0,1,15,15,Gonzaga,WCC,33,82.1,123.8,17.2,59.3,62.08,3.4,9.9,9.9,13.5,68,84,0.81,78,151,0.517,78,178,0.43799999999999994,1.1,1.5,25.5,Jr,7-Jun,24.0,4.0871900000000005,121.20200000000001,2.2,2020,51050,all,79.0,1.52177346,53.0,94.0,25.0,57.0,0.5638,0.4386,7.0,7.0,1.0,15.0,97.2082,95.7136,3.60468,191.69,6.57195,5.584280000000001,0.987669,5.645919999999999,32.9697,4.61498,1.03094,0.9394,3.0303,3.9697,2.1212,0.8788,0.3636,13.8788,Wing G,8.94717
19,Corey Kispert,Washington Wizards,Gonzaga,2021.0,1,15,15,Gonzaga,WCC,32,79.2,131.2,20.7,64.4,67.38,3.8,13.9,9.0,10.7,86,98,0.878,118,188,0.628,91,207,0.44,1.4,1.5,24.8,Sr,7-Jun,24.0,5.75645,137.606,2.1,2021,51050,all,79.0,1.38095238,98.0,130.0,20.0,58.0,0.7538,0.3448,9.0,9.0,1.0,15.0,95.9101,91.98,3.87892,196.22799999999998,9.90794,8.1101,1.79784,10.4287,31.8125,8.80165,1.6270799999999999,0.9375,4.0312,4.9688,1.8125,0.9062,0.4375,18.5938,Wing G,10.8954
20,Trey Murphy III,Memphis Grizzlies,Virginia,2021.0,1,17,17,Rice,CUSA,30,51.8,121.4,16.5,62.9,64.49,3.1,10.8,7.3,11.7,37,51,0.725,20,38,0.526,63,144,0.43799999999999994,2.5,1.1,28.0,Fr,7-Jun,2.0,2.08206,116.44200000000001,2.7,2019,65675,all,,1.0,9.0,10.0,11.0,28.0,0.9,0.3929,4.0,4.0,1.0,17.0,108.85700000000001,111.964,1.25674,108.84200000000001,1.4359,3.09952,-1.66362,3.57615,20.6562,4.4322099999999995,-0.8560639999999999,0.5625,2.0,2.5625,0.6875,0.4688,0.5,8.4062,Stretch 4,12.6598
21,Trey Murphy III,Memphis Grizzlies,Virginia,2021.0,1,17,17,Rice,CUSA,27,68.6,110.3,20.1,54.3,58.03,4.4,15.2,8.5,13.2,60,72,0.833,48,88,0.545,68,188,0.36200000000000004,1.5,1.8,26.1,So,8-Jun,2.0,2.68348,110.712,3.5,2020,65675,all,,0.87805913,39.0,50.0,9.0,38.0,0.78,0.2368,19.0,19.0,1.0,17.0,105.165,105.387,2.32206,157.901,2.11903,3.13591,-1.01689,2.02283,30.1724,2.99064,-0.967809,1.1724,4.3103,5.4828,1.2414,0.9309999999999999,0.5517,13.6897,Wing F,12.8031
22,Trey Murphy III,Memphis Grizzlies,Virginia,2021.0,1,17,17,Virginia,ACC,25,73.5,127.9,17.3,63.9,66.99,2.8,11.7,8.2,9.8,38,41,0.927,44,71,0.62,52,120,0.433,1.8,1.8,21.5,Jr,9-Jun,25.0,4.2664,127.057,2.7,2021,65675,all,,1.57894745,33.0,47.0,11.0,24.0,0.7021,0.4583,23.0,24.0,0.9583,17.0,100.979,95.0452,3.2875099999999997,116.001,7.6585600000000005,5.9267199999999995,1.73185,7.20523,29.56,5.31979,1.8854400000000002,0.6,2.8,3.4,1.2,0.8,0.44,11.28,Wing F,10.7236
23,Tre Mann,Oklahoma City Thunder,Florida,2021.0,1,18,18,Florida,SEC,29,40.9,86.5,19.8,42.5,44.6,1.9,10.9,7.5,19.1,19,29,0.655,35,80,0.43799999999999994,22,80,0.275,0.4,2.0,18.1,Fr,4-Jun,1.0,0.288092,90.0934,4.1,2020,70993,all,96.0,0.62506798,18.0,30.0,17.0,52.0,0.6,0.3269,0.0,1.0,0.0,18.0,100.639,94.9476,1.96373,86.4357,-1.20374,-1.25084,0.0471039,-1.8734099999999998,17.6207,-2.84958,0.9761610000000001,0.2759,1.6207,1.8966,0.6897,0.5862,0.069,5.3448,Wing G,9.47198
