,AFFILIATION,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,Rec Rank,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,mp,oreb,dreb,treb,ast,stl,blk,pts,Position,Class
11,Connecticut,BE,15,51.4,106.2,30.2,49.8,54.57,5.3,15.0,12.8,17.7,63,81,0.778,76,144,0.528,22,75,0.293,0.9,2.2,37.0,So,4.56274,127.125,86.8,0.64285714,0.6582,0.3692,1.0,97.5146,92.9668,3.73664,85.7659,4.43505,3.90627,0.528775,31.6667,1.5333,4.1333,5.6667,1.8,1.1333,0.2667,18.7333,Wing G,1
12,Alabama,SEC,30,50.9,106.4,16.9,54.1,56.51,4.7,10.5,6.5,19.3,33,44,0.75,41,82,0.5,43,113,0.381,1.3,1.3,22.6,Fr,1.7222,107.439,88.8,0.60971681,0.5873,0.2105,1.0,97.997,92.0733,2.73142,118.126,3.49621,1.81354,1.68267,22.4667,1.0333,2.3333,3.3667,0.8333,0.5333,0.3,8.1333,Wing G,1
13,Oregon,P12,28,66.2,109.5,22.7,49.2,52.92,6.2,15.8,10.4,13.6,62,78,0.795,79,164,0.482,47,140,0.336,2.1,3.4,25.7,Jr,3.4792300000000003,119.644,52.8,1.06980532,0.5727,0.2963,0.9167,95.4767,92.1962,3.5646,174.22,6.14919,4.15271,1.99647,30.1429,1.5,4.1071,5.6071,1.6429,1.6786,0.5357,12.8929,Wing G,1
14,Oregon,P12,26,79.1,120.2,22.5,63.3,65.73,2.8,14.0,14.9,17.5,64,79,0.81,99,157,0.631,61,144,0.424,2.8,3.3,26.2,Sr,5.38025,130.756,52.8,1.15256477,0.7,0.5373,0.9333,98.5419,92.1947,4.14586,179.834,9.33922,6.49636,2.84286,34.0769,0.7692,3.8846,4.6538,2.6154,1.9231,0.8077,17.1154,Wing G,1
15,Arkansas,SEC,32,84.2,116.0,21.6,50.3,56.81,6.3,11.8,8.0,11.8,151,186,0.812,107,224,0.478,58,162,0.358,2.0,1.6,48.2,Fr,4.36787,122.629,91.4,0.96153846,0.5636,0.3947,0.9091,98.2513,92.4912,4.10055,195.879,5.74065,4.29972,1.4409299999999998,33.8125,2.0,3.75,5.75,1.5625,1.0,0.6562,16.8438,Wing G,1
16,Gonzaga,WCC,35,45.3,120.1,15.8,56.7,57.81,6.5,11.8,6.1,11.7,24,36,0.667,46,73,0.63,40,114,0.35100000000000003,0.9,0.8,19.3,Fr,1.73334,113.564,79.0,1.18183266,0.7407,0.3158,0.6667,100.278,99.0407,2.01812,111.53,3.77555,3.22326,0.552287,19.4,1.0571,2.1143,3.1714,0.7429,0.2857,0.1714,6.7429,Wing F,1
17,Gonzaga,WCC,37,65.3,117.9,13.6,56.5,58.65,4.3,12.3,5.9,13.6,28,32,0.875,43,75,0.573,61,163,0.374,1.9,1.4,13.4,So,2.04661,110.026,79.0,1.21875367,0.6269,0.1111,1.0,94.1964,91.1863,3.47085,176.769,6.7843,4.0380400000000005,2.74626,26.1351,0.8919,3.1892,4.0811,1.0541,0.6486,0.4865,8.027000000000001,Wing G,1
18,Gonzaga,WCC,33,82.1,123.8,17.2,59.3,62.08,3.4,9.9,9.9,13.5,68,84,0.81,78,151,0.517,78,178,0.438,1.1,1.5,25.5,Jr,4.0871900000000005,121.202,79.0,1.52177346,0.5638,0.4386,1.0,97.2082,95.7136,3.60468,191.69,6.57195,5.5842800000000015,0.987669,32.9697,0.9394,3.0303,3.9697,2.1212,0.8788,0.3636,13.8788,Wing G,1
19,Gonzaga,WCC,32,79.2,131.2,20.7,64.4,67.38,3.8,13.9,9.0,10.7,86,98,0.878,118,188,0.628,91,207,0.44,1.4,1.5,24.8,Sr,5.75645,137.606,79.0,1.38095238,0.7538,0.3448,1.0,95.9101,91.98,3.87892,196.228,9.90794,8.1101,1.79784,31.8125,0.9375,4.0312,4.9688,1.8125,0.9062,0.4375,18.5938,Wing G,1
20,Virginia,CUSA,30,51.8,121.4,16.5,62.9,64.49,3.1,10.8,7.3,11.7,37,51,0.725,20,38,0.526,63,144,0.438,2.5,1.1,28.0,Fr,2.08206,116.442,,1.0,0.9,0.3929,1.0,108.857,111.964,1.25674,108.842,1.4359,3.09952,-1.66362,20.6562,0.5625,2.0,2.5625,0.6875,0.4688,0.5,8.4062,Stretch 4,1
